city,startup_count,funding_crore,industry_count,investor_count,growth,startup_score,funding_score,industry_score,investor_score,growth_score,hotspot_score,rank
Azadpur,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,53
Gaya,1,49.5,1,1,0,0.0,0.0001950141001103898,0.0,0.0008928571428571428,1,15.01,54
Karur,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,55
Warangal,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,56
Varanasi,1,0.43,1,1,0,0.0,1.6940618797468206e-06,0.0,0.0008928571428571428,1,15.01,57
Srinagar,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,58
Secunderabad,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,59
Kerala,1,0.22,1,1,0,0.0,8.667293338239547e-07,0.0,0.0008928571428571428,1,15.01,60
Kozhikode,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,61
Kurawar,1,3.0,1,1,0,0.0,1.1819036370326655e-05,0.0,0.0008928571428571428,1,15.01,62
Mussoorie,1,2.89,1,1,0,0.0,1.1385671703414678e-05,0.0,0.0008928571428571428,1,15.01,63
Thiruvananthapuram,1,0.0,1,1,0,0.0,0.0,0.0,0.0008928571428571428,1,15.01,64
Alwar,1,0.0,1,0,0,0.0,0.0,0.0,0.0,1,15.0,65
Anand,1,0.0,1,0,0,0.0,0.0,0.0,0.0,1,15.0,66
Ernakulam,1,0.0,1,0,0,0.0,0.0,0.0,0.0,1,15.0,67
Kannur,1,0.24,1,0,0,0.0,9.455229096261323e-07,0.0,0.0,1,15.0,68
Guntur,1,1.31,1,0,0,0.0,5.1609792150426395e-06,0.0,0.0,1,15.0,69
Mohali,1,0.0,1,0,0,0.0,0.0,0.0,0.0,1,15.0,70
Worli,1,0.0,1,0,0,0.0,0.0,0.0,0.0,1,15.0,71
